Student_ID,Major_Category,Pre_GPA,Weekly_GenAI_Hours,Traditional_Study_Hours,Post_GPA,Skill_Retention_Score,Anxiety_Level_During_Exams,Burnout_Risk_Level,GPA_Improvement,Study_AI_Ratio
108125,STEM,2.94,7,12.03,3.93,87.56,1.0,Low,0.99,1.72
102060,Business,2.27,7,25.8,3.21,100.0,6.0,Medium,0.94,3.69
128333,Business,3.03,9,17.76,3.96,100.0,1.0,Low,0.93,1.97
109581,STEM,3.02,11,14.13,3.94,83.87,4.0,High,0.92,1.28
113509,Humanities,1.81,17,18.67,2.70,96.52,3.0,High,0.89,1.1
101877,Business,3.04,21,21.72,3.90,90.41,3.0,High,0.86,1.03
144254,Humanities,2.38,16,30.71,3.24,69.69,1.0,Medium,0.86,1.92
102590,Business,2.04,8,23.32,2.89,84.93,8.0,Medium,0.85,2.92
107261,STEM,2.53,16,18.77,3.38,100.0,1.0,Medium,0.85,1.17
123451,STEM,2.88,13,7.2,3.73,75.84,6.0,High,0.85,0.55
134682,STEM,2.83,10,12.24,3.68,71.82,6.0,Medium,0.85,1.22
140487,STEM,2.60,11,14.17,3.45,90.87,6.0,Medium,0.85,1.29
143350,STEM,1.74,6,7.88,2.59,85.81,8.0,Medium,0.85,1.31
108224,Medical,2.60,6,19.71,3.44,100.0,3.0,High,0.84,3.29
139980,STEM,2.49,21,13.27,3.33,94.18,8.0,Medium,0.84,0.63
113809,STEM,2.68,12,13.35,3.51,65.87,6.0,Medium,0.83,1.11
118225,STEM,2.83,15,12.14,3.66,75.87,5.0,Medium,0.83,0.81
126966,STEM,3.00,25,14.54,3.83,71.9,8.0,High,0.83,0.58
101033,STEM,2.30,9,18.21,3.12,79.57,2.0,High,0.82,2.02
103465,STEM,2.97,8,16.34,3.79,87.12,1.0,Low,0.82,2.04
110050,Medical,3.15,37,17.91,3.97,97.07,8.0,High,0.82,0.48
122751,Arts,2.24,16,23.82,3.06,93.02,2.0,Medium,0.82,1.49
123082,Arts,2.51,34,15.52,3.33,93.33,4.0,High,0.82,0.46
147952,Medical,2.54,15,20.14,3.36,99.51,4.0,Medium,0.82,1.34
101089,Medical,2.75,8,10.34,3.55,97.75,4.0,Low,0.80,1.29
103249,Medical,2.49,7,16.55,3.28,64.39,6.0,Medium,0.79,2.36
114942,STEM,2.20,8,16.04,2.99,92.44,5.0,High,0.79,2.01
115441,Arts,2.31,13,17.66,3.10,100.0,3.0,High,0.79,1.36
120592,Arts,3.16,19,11.93,3.95,91.95,1.0,High,0.79,0.63
121054,Humanities,3.07,7,13.11,3.86,87.12,3.0,Low,0.79,1.87
130184,STEM,2.28,35,7.37,3.07,91.68,10.0,High,0.79,0.21
144974,STEM,2.98,10,19.61,3.77,86.42,5.0,Medium,0.79,1.96
103186,Business,2.94,27,14.13,3.72,90.74,6.0,High,0.78,0.52
124604,Medical,2.89,18,18.58,3.67,97.68,6.0,High,0.78,1.03
141149,Business,3.01,16,10.4,3.79,100.0,3.0,High,0.78,0.65
107544,Medical,3.12,15,17.82,3.89,100.0,2.0,Medium,0.77,1.19
111925,STEM,3.12,14,2.28,3.89,78.62,3.0,High,0.77,0.16
118688,STEM,3.17,23,9.81,3.94,85.36,7.0,Medium,0.77,0.43
126815,Arts,3.05,14,15.51,3.82,100.0,9.0,High,0.77,1.11
129019,STEM,2.83,15,15.17,3.60,89.55,3.0,High,0.77,1.01
135292,Business,3.23,6,15.59,4.00,63.63,4.0,High,0.77,2.6
147773,Humanities,3.23,6,15.87,4.00,94.72,5.0,Low,0.77,2.65
149118,STEM,2.85,6,23.26,3.62,79.51,6.0,Medium,0.77,3.88
107682,Business,3.20,8,9.44,3.96,100.0,1.0,High,0.76,1.18
111260,STEM,2.16,31,12.63,2.92,87.09,5.0,High,0.76,0.41
113332,Humanities,2.22,6,16.25,2.98,75.02,5.0,Medium,0.76,2.71
131782,STEM,3.19,15,23.9,3.95,85.72,3.0,Medium,0.76,1.59
138136,STEM,2.27,7,22.97,3.03,97.83,5.0,Medium,0.76,3.28
142423,STEM,3.21,6,15.94,3.97,95.24,7.0,Medium,0.76,2.66
146461,Arts,2.45,12,20.81,3.21,73.95,7.0,Medium,0.76,1.73
101011,STEM,2.51,6,18.2,3.26,84.9,3.0,Low,0.75,3.03
105781,Business,3.24,9,25.03,3.99,82.42,2.0,Low,0.75,2.78
110008,Business,3.22,12,20.57,3.97,72.73,2.0,High,0.75,1.71
110633,STEM,3.25,14,22.79,4.00,77.49,5.0,Medium,0.75,1.63
115125,STEM,2.36,36,8.55,3.11,70.11,7.0,High,0.75,0.24
117387,Business,1.86,13,21.15,2.61,84.44,4.0,Medium,0.75,1.63
117797,Humanities,2.80,9,18.86,3.55,100.0,5.0,Medium,0.75,2.1
130933,Medical,3.25,10,25.83,4.00,84.32,3.0,Medium,0.75,2.58
146710,STEM,3.25,27,14.37,4.00,83.2,8.0,High,0.75,0.53
148309,STEM,2.76,13,15.0,3.51,91.56,1.0,Low,0.75,1.15
108124,Business,3.26,6,25.88,4.00,85.93,1.0,Low,0.74,4.31
110206,STEM,2.90,11,18.0,3.64,79.48,8.0,Medium,0.74,1.64
111783,Business,2.53,6,18.06,3.27,73.06,2.0,Medium,0.74,3.01
113889,STEM,3.09,6,13.54,3.83,100.0,1.0,Low,0.74,2.26
120463,Humanities,3.26,17,19.16,4.00,70.68,3.0,Medium,0.74,1.13
123112,STEM,3.02,14,7.4,3.76,95.06,4.0,High,0.74,0.53
126793,STEM,3.24,7,14.81,3.98,81.95,4.0,Low,0.74,2.12
