item_id,order_id,product_id,quantity,unit_price,discount_percent
I00001,O04305,P0386,3,20219,1
I00002,O00812,P0326,3,85333,15
I00003,O03315,P0182,5,35736,38
I00004,O00124,P0038,3,16661,36
I00005,O00802,P0151,5,87567,12
I00006,O03084,P0098,3,92904,28
I00007,O01339,P0043,3,69874,9
I00008,O00827,P0292,3,30577,27
I00009,O04818,P0192,3,3512,23
I00010,O02500,P0233,4,14170,39
I00011,O03847,P0307,5,33342,33
I00012,O04766,P0075,4,24601,3
I00013,O03246,P0226,3,704,15
I00014,O03704,P0027,5,892,38
I00015,O03176,P0464,2,27040,40
I00016,O04191,P0261,3,4348,13
I00017,O00928,P0280,2,88226,6
I00018,O03642,P0138,1,36865,35
I00019,O00931,P0398,3,89527,35
I00020,O03733,P0276,5,78581,36
I00021,O00772,P0305,5,44100,29
I00022,O02939,P0353,3,43330,37
I00023,O01940,P0197,2,65416,11
I00024,O02595,P0354,4,65686,3
I00025,O02437,P0470,1,32876,15
I00026,O02832,P0480,5,50269,30
I00027,O01889,P0343,3,21965,2
I00028,O02982,P0040,1,75284,4
I00029,O01434,P0215,-2,7855,21
I00030,O02229,P0447,3,6758,29
I00031,O02286,P0004,3,31262,7
I00032,O02702,P0216,3,70532,0
I00033,O00831,P0419,5,23527,8
I00034,O00650,P0244,3,58177,14
I00035,O00219,P0415,5,25595,12
I00036,O03229,P0308,4,18892,5
I00037,O02524,P0342,1,62157,36
I00038,O00148,P0287,4,23388,23
I00039,O01766,P0466,2,3305,13
I00040,O01962,P0156,5,1922,9
I00041,O02644,P0269,4,27242,11
I00042,O00929,P0498,5,8802,37
I00043,O02276,P0350,3,40087,21
I00044,O01431,P0218,1,40751,33
I00045,O03648,P0166,1,9517,0
I00046,O02465,P0184,1,77891,25
I00047,O04770,P0211,-1,87573,12
I00048,O03065,P0239,3,93734,6
I00049,O01760,P0479,2,70800,3
I00050,O02919,P0344,1,24446,17
I00051,O00099,P0186,5,12556,33
I00052,O02186,P0043,3,4570,6
I00053,O01398,P0418,5,43069,39
I00054,O00390,P0381,1,64592,40
I00055,O03346,P0048,2,2255,9
I00056,O00107,P0240,1,2329,14
I00057,O00353,P0196,1,54401,16
I00058,O00448,P0261,5,51756,13
I00059,O01626,P0003,4,66494,19
I00060,O04230,P0129,2,66953,36
I00061,O04656,P0321,2,74346,15
I00062,O02005,P0241,5,80085,12
