order_id,customer_id,order_date,status,region_code
O00001,UNKNOWN,2024-08-21 07:25:06,SHIPPED,East
O00002,C0474,2024-07-13 03:50:42,DELIVERED,West
O00003,C0197,2024-11-02 15:17:01,RETURNED,East
O00004,C0292,2026-03-15 19:21:10,DELIVERED,East
O00005,C0844,2026-05-20 06:33:30,SHIPPED,West
O00006,C0506,2025-02-07 03:14:37,CANCELLED,South
O00007,C0805,2025-07-07 19:59:58,SHIPPED,South
O00008,C0499,2025-01-12 14:49:18,SHIPPED,South
O00009,C0791,2024-08-12 13:18:07,PLACED,West
O00010,C0848,2026-05-05 11:17:42,RETURNED,East
O00011,C0549,2025-03-27 09:35:16,CANCELLED,East
O00012,C0666,2025-05-06 20:52:50,SHIPPED,North
O00013,C0969,2025-03-10 13:33:59,CANCELLED,East
O00014,UNKNOWN,2024-10-16 08:51:59,DELIVERED,North
O00015,UNKNOWN,2024-12-07 19:24:27,SHIPPED,East
O00016,UNKNOWN,2025-02-19 09:16:59,CANCELLED,West
O00017,C0140,2026-05-04 03:52:56,RETURNED,South
O00018,UNKNOWN,2026-03-27 11:42:29,SHIPPED,West
O00019,C0870,2024-07-22 22:06:04,PLACED,East
O00020,C0978,2024-11-17 09:00:16,RETURNED,North
O00021,C0772,2024-09-24 15:54:41,SHIPPED,North
O00022,C0580,2025-05-19 23:36:35,RETURNED,South
O00023,C0579,2025-06-26 01:24:46,DELIVERED,South
O00024,C0583,2025-06-26 21:07:58,PLACED,East
O00025,UNKNOWN,2025-02-19 18:17:00,RETURNED,West
O00026,C0122,2026-03-17 17:30:37,SHIPPED,North
O00027,C0849,2025-08-22 04:38:02,CANCELLED,North
O00028,C0602,2025-09-29 23:54:47,RETURNED,South
O00029,UNKNOWN,2025-06-16 06:21:00,SHIPPED,North
O00030,C0304,2024-11-09 10:14:41,CANCELLED,West
O00031,C0683,2025-09-09 23:01:51,CANCELLED,North
O00032,C0027,2025-01-19 12:22:12,CANCELLED,East
O00033,C0280,2026-03-01 01:36:45,RETURNED,East
O00034,C0107,2024-12-03 18:47:26,CANCELLED,South
O00035,C0963,2024-10-09 04:33:03,RETURNED,South
O00036,C0247,2024-07-14 17:58:31,DELIVERED,East
O00037,C0249,2025-08-06 08:57:53,SHIPPED,East
O00038,C0020,2025-02-19 05:57:48,SHIPPED,North
O00039,C0998,2025-05-20 19:01:42,SHIPPED,South
O00040,UNKNOWN,2024-09-09 00:14:49,SHIPPED,West
O00041,UNKNOWN,2025-12-10 20:13:30,SHIPPED,West
O00042,C0501,2024-07-20 05:39:39,SHIPPED,South
O00043,C0161,2026-02-27 09:59:18,DELIVERED,North
O00044,C0652,2025-03-21 04:42:41,CANCELLED,North
O00045,C0931,2025-04-17 22:04:18,CANCELLED,West
O00046,C0541,2025-03-16 02:44:46,RETURNED,South
O00047,C0264,2025-05-31 01:09:35,RETURNED,South
O00048,C0036,2026-03-15 07:51:11,RETURNED,East
O00049,C0895,2025-10-06 23:09:59,PLACED,West
O00050,C0521,2025-10-24 20:07:17,CANCELLED,West
O00051,C0296,2024-07-31 21:16:09,RETURNED,North
O00052,C0492,2025-05-14 08:31:59,CANCELLED,North
O00053,C0005,2026-01-02 12:04:11,SHIPPED,East
O00054,C0683,2025-03-28 04:48:12,PLACED,East
O00055,C0884,2025-08-16 21:56:07,PLACED,East
O00056,C0774,2024-11-20 19:22:46,PLACED,North
O00057,C0746,2026-02-14 09:38:50,RETURNED,West
O00058,C0242,2025-08-17 19:09:49,RETURNED,West
O00059,C0411,2025-06-18 21:09:44,PLACED,East
O00060,C0986,2025-06-03 12:09:58,RETURNED,North
O00061,C0378,2025-04-13 05:06:29,CANCELLED,West
O00062,C0210,2024-10-06 22:42:24,SHIPPED,South
O00063,C0904,2026-05-08 03:12:19,PLACED,West
O00064,C0735,2026-06-06 05:23:56,PLACED,South
O00065,C0085,2025-06-14 23:06:31,SHIPPED,North
O00066,C0476,2026-06-18 00:34:42,PLACED,East
O00067,C0456,2026-02-20 00:00:00,SHIPPED,South
O00068,C0911,2026-03-29 09:38:52,PLACED,East
O00069,C0825,2025-03-28 11:53:39,SHIPPED,West
O00070,C0909,2025-07-15 21:15:15,PLACED,North
O00071,C0795,2024-07-25 01:03:34,PLACED,West
O00072,C0012,2025-04-02 22:40:28,RETURNED,West
O00073,C0351,2026-01-15 07:34:59,DELIVERED,East
O00074,C0538,2024-10-09 13:53:06,DELIVERED,North
O00075,C0476,2024-07-19 04:24:18,RETURNED,North
O00076,UNKNOWN,2025-04-16 07:43:05,PLACED,West
O00077,C0526,2025-06-22 17:29:35,SHIPPED,South
O00078,C0454,2025-02-07 07:37:52,CANCELLED,East
O00079,C0931,2025-12-01 05:50:30,SHIPPED,West
O00080,C0442,2026-05-23 19:26:25,PLACED,West
O00081,C0672,2024-12-16 00:00:00,RETURNED,North
