product_id,product_name,category,subcategory,cost_price
P0001,Butler-Haas Laptop,Electronics,Laptop,14971
P0002,"Henry, Wolf And Ford Lamp",Home,Lamp,42473
P0003,"Moreno, Sanchez And Ryan Laptop",Electronics,Laptop,36867
P0004,"Harris, Grant And Pratt Laptop",Electronics,Laptop,78690
P0005,Robertson-Frye Lamp,Home,Lamp,14601
P0006,"Garcia, Herrera And Massey Smart Watch",Electronics,Smart Watch,66869
P0007,Davis Plc Table,Home,Table,45796
P0008,Glover Llc Shirt,Clothing,Shirt,88535
P0009,"Barnes, Walton And Lee Badminton",Sports,Badminton,96446
P0010,"Larson, Mullen And Bailey Badminton",Sports,Badminton,12906
P0011,Mitchell Inc Cricket Bat,Sports,Cricket Bat,35391
P0012,Espinoza Plc Smart Watch,Electronics,Smart Watch,62907
P0013,Warren Llc Headphones,Electronics,Headphones,41118
P0014,Spencer-Williams Headphones,Electronics,Headphones,58692
P0015,Carr Ltd Badminton,Sports,Badminton,94426
P0016,Austin Inc Comics,Books,Comics,73191
P0017,Pena And Sons Chair,Home,Chair,15988
P0018,Nelson-Herman Gym Equipment,Sports,Gym Equipment,24619
P0019,"Sutton, Baker And Mcguire Laptop",Electronics,Laptop,13312
P0020,Lamb And Sons Football,Sports,Football,75270
P0021,"Hart, White And Kelly Smart Watch",Electronics,Smart Watch,1317
P0022,Wyatt-Cook Headphones,Electronics,Headphones,95088
P0023,Bush-Flores Cricket Bat,Sports,Cricket Bat,19569
P0024,Evans-Oconnell Sofa,Home,Sofa,97215
P0025,Brown Inc Smart Watch,Electronics,Smart Watch,27272
P0026,Lawson Plc Football,Sports,Football,43978
P0027,Dunn-Barber Lamp,Home,Lamp,540
P0028,"Guzman, Jones And Fisher Shirt",Clothing,Shirt,37312
P0029,"Alexander, Robinson And Weiss Chair",Home,Chair,48866
P0030,Stewart-Campbell Mobile,Electronics,Mobile,19003
P0031,Burke-Thomas Sofa,Home,Sofa,23034
P0032,Lee Group Gym Equipment,Sports,Gym Equipment,80826
P0033,French Group Shoes,Clothing,Shoes,3764
P0034,"Hall, Becker And Jones Jacket",Clothing,Jacket,91844
P0035,"Harris, Jones And Ruiz Novel",Books,Novel,9087
P0036,Fry Ltd Mobile,Electronics,Mobile,6689
P0037,Turner Llc Shoes,Clothing,Shoes,55685
P0038,Valdez Group Chair,Home,Chair,13003
P0039,"Floyd, Harrington And Shepherd Sofa",Home,Sofa,93271
P0040,"Jarvis, Vargas And Castaneda Jeans",Clothing,Jeans,48102
P0041,Jacobs-Hall Cricket Bat,Sports,Cricket Bat,22616
P0042,Wright-Perez Table,Home,Table,50054
P0043,"Duran, Forbes And Adams Jacket",Clothing,Jacket,14300
P0044,English-Garcia Table,Home,Table,46020
P0045,Shaffer Inc Jacket,Clothing,Jacket,38149
P0046,Lee And Sons Programming,Books,Programming,43607
P0047,Martin Inc Table,Home,Table,84289
P0048,Sanchez-Ramos Shirt,Clothing,Shirt,45104
P0049,Christensen Plc Gym Equipment,Sports,Gym Equipment,89062
P0050,Burgess-Stephenson Headphones,Electronics,Headphones,13237
P0051,"Walker, Smith And Holloway Shirt",Clothing,Shirt,78679
P0052,Stone-Hoffman Smart Watch,Electronics,Smart Watch,71528
P0053,Ochoa Plc Sofa,Home,Sofa,61418
P0054,Gibson-Barton Shoes,Clothing,Shoes,13004
P0055,"Smith, Smith And Sanchez Comics",Books,Comics,63485
P0056,Cross Inc Jacket,Clothing,Jacket,98294
P0057,"Greer, Woods And Elliott Novel",Books,Novel,45357
P0058,Miles-Mueller Shoes,Clothing,Shoes,40239
P0059,Acevedo-Blackwell Sofa,Home,Sofa,91404
P0060,"Rodriguez, Peters And Rodriguez Shirt",Clothing,Shirt,91686
P0061,Miller Group Lamp,Home,Lamp,20558
P0062,Andrews Plc Cricket Bat,Sports,Cricket Bat,15423
P0063,Smith Plc Laptop,Electronics,Laptop,79878
P0064,"Murray, Robles And Smith Mobile",Electronics,Mobile,35242
P0065,"Garcia, Hawkins And King Shoes",Clothing,Shoes,87160
P0066,Rivers Group Lamp,Home,Lamp,68870
P0067,Peters-Carpenter Mobile,Electronics,Mobile,95598
P0068,Gonzalez-Contreras Table,Home,Table,32059
P0069,Berry-Hamilton Sofa,Home,Sofa,96554
P0070,Chapman-Nichols Table,Home,Table,99861
P0071,Daugherty Group Shirt,Clothing,Shirt,57793
P0072,Blake-Espinoza Comics,Books,Comics,29149
P0073,Cameron Inc Novel,Books,Novel,74101
P0074,Taylor-Romero Novel,Books,Novel,71995
P0075,Rogers And Sons Shoes,Clothing,Shoes,31027
P0076,Carr Llc Biography,Books,Biography,45510
P0077,Miles Inc Shirt,Clothing,Shirt,70862
P0078,"Maynard, Smith And Owen Laptop",Electronics,Laptop,70469
P0079,"Mitchell, Chandler And Lee Mobile",Electronics,Mobile,46056
P0080,Morgan And Sons Gym Equipment,Sports,Gym Equipment,29316
P0081,Brown-Davis Jeans,Clothing,Jeans,48874
P0082,Carroll Inc Laptop,Electronics,Laptop,29233
P0083,Cortez Llc Jeans,Clothing,Jeans,24588
P0084,Jenkins-Mills Lamp,Home,Lamp,21133
P0085,Smith Plc Lamp,Home,Lamp,1900
